ymin,lower,middle,upper,ymax,location,model_name
2.7271891082618445,3.110195515797242,3.321221059613638,3.5351023594614457,3.991871406907648,RI,Behavioral (Exponential)
2.871979812542687,3.2683769247174124,3.4746809603957107,3.655022535909541,3.9524650557535375,RI,Behavioral (Rational)
2.416087061503009,2.481271974114914,2.510050566439091,2.5350199782671616,2.574565551215179,VA,Baseline
2.975560186650805,3.6110213303967376,3.905976380462495,4.243290221563325,4.948198217874832,VA,Behavioral (Mixed)
3.0134227473080557,3.4726899034615797,3.736592246933859,3.993735051260275,4.509308212703469,VA,Behavioral (Exponential)
3.1484562391915527,3.5966444382546596,3.756735157257459,3.905314057286848,4.238617759641299,VA,Behavioral (Rational)
4.401454934362933,4.538177278918777,4.595785229208767,4.652688293910467,4.734299332126461,WA,Baseline
5.273947588339689,5.6348561102361,5.781536029384931,5.909561928003446,5.999449472528863,WA,Behavioral (Mixed)
4.939891368883943,5.274099383524557,5.432959238019937,5.609538702698001,5.99329263956924,WA,Behavioral (Exponential)
4.656145013817683,4.947106207045028,5.086588115467979,5.230386975474391,5.51224525906675,WA,Behavioral (Rational)
2.338433014689248,2.4248021966638404,2.4764815532492896,2.521315150788561,2.608883361826999,WI,Baseline
3.4252043085081803,3.622527993549673,3.73781626442848,3.843618681485726,4.17490162613946,WI,Behavioral (Mixed)
2.8100477926148644,3.013311670580532,3.1210604337452215,3.2190916785631556,3.4736584306426073,WI,Behavioral (Exponential)
2.6816900125593355,2.8514182477207015,2.9401439856749727,3.0340076539849252,3.238916354187451,WI,Behavioral (Rational)
